gamma,omega,T_star,lambda_star,P_T_star,J_star,K_star
0.01,0.02,18.58255407432664,0.44272356671466284,0.20974209678149325,0.6008233006591581,0.19210172269428352
0.01,0.2,17.05776692114121,0.19747650045156662,0.16630013686208145,0.5613750892461487,0.13120286545454363
0.01,0.5,16.317715833796463,0.1284727432499401,0.131527957055626,0.5298374636181744,0.09439115409975468
0.2,0.02,19.925869075557475,0.43518188895980303,0.2115590370850652,8.011614195471763,0.19451454220198922
0.2,0.2,20.01585145396363,0.1893502531133957,0.17442002507002227,7.97442253576604,0.14215185855132595
0.2,0.5,19.759824170637902,0.12832788027143682,0.145705454825542,7.946289310516885,0.1086523539018815
0.9,0.02,20.015266589919268,0.4333238490988791,0.21156573366984377,35.311576213764624,0.19466647343203564
0.9,0.2,19.98754825818418,0.18965187332699546,0.17443194065831666,35.274438922069194,0.1420608909075218
0.9,0.5,19.95776091458175,0.12803372343472702,0.14627446953205958,35.246354925767115,0.1093910422747992
1.5,0.02,20.000915498611302,0.4336783337614929,0.2115691351161965,58.71156919797365,0.19464221437052345
1.5,0.2,20.004970269550537,0.18949747019456847,0.17443577206007452,58.6744376243682,0.1421174099709473
1.5,0.5,19.977854761253887,0.12834754817974,0.14653052380704998,58.64656734544819,0.10946606427861094
3.5,0.02,20.00370450807773,0.43467559199654515,0.21165154762227542,136.71165394876903,0.1946466892972962
3.5,0.2,20.022292871052358,0.19024560045025735,0.1747116098265929,136.67479848311132,0.14213756018498183
3.5,0.5,19.973883815146735,0.1287742782828879,0.14676175017383145,136.64688126588302,0.10945041699245447
